Luang Pu Si Siriyano, Wat Pa Si Mongkol
Phra Khru Bowonsilawat (Prasert Rakhitsilo), Wat Lertsawat (Khao Chan Ngam)
Phra Rector Chandi Kantasaro, Wat Pa Amphawan
Phra Rector Mitsuo Kwesko, Wat Sunanthawanaram
Phrakhru Vinaithorn (Sampas Athipunyo), Wat Pa Khao Hin. Cut
Phra Achan Sujitto, Wat Pa Chittawiwek
Phra Athikhan Suphap Suphajaro, Wat Phu Kham
Phrakhru Thaworn Santitham (Prasert Thawaro), Wat Ban Muang
Phra Achan Munintho, Wat Arun Rattanakiri
Phra Athikan Phanom Santajitto, Wat Pa Huay Kaew Santitham
Phra Kru Thumphawanavikrom (Prasopchai Kantasilo), Wat Pa Chittaphawan
Phra Khru Palad Anan Akinchano, Wat Suphatthabanphot (Mabchan)
Phra Maha Khamthul Kamphutto, Wat Pa Phu Sing
Phrakhru Wicharn Supawat (Bandit Techapañño), Wat Mae Jai Tai
Phra Athikan Thanom Chotith Mmo, Wat Pa Phawanaram
Reverend Father Lamai Lapsampanno, Phra Phutthabat Doi Lon Monastery
Phra Achan Suporn Thitiko, Chaiyaphum Bodhiyan Monastery
Phrakhru Aranworakit (Nikorn Aphichato), Wat Pa Nong Chik
Phra Achan Niwan Thawaro, Phukeng Monastery
Phra Achan Sunee Prakkamo, Wat Pa Phutthasathan Phu Hin Lime
Phra Ajahn Pila Kalyano, Wat Pa Don Yen
Phra Ajarn Sali Khan Tiplo, Wat Pa Thung Si Udom
Phra Akaradej Thirajitto, Wat Bunyawat
Phra Achan Preecha Thirayano, Monks' Residence Pa Khao Lan Wua
Phra Ajahn Yomro, Wat Amravadi
Phra Achan Bun Chu Sukito, Khao Khok Chang Monk Residence
Phra Achan Phongsa Manunyo, Khao Rak Monk Residence
Phrakhru Kittithamwat (Sompong Kittiyano), Wat Pa Si Ubon
Phrakhru Phawananukit (Lai Theep) Dhammo), Wat Pa Khantitham
Phra Ajahn Chalermchai Chanthako, Pa Nambun Monks' Residence
Phra Achan Yannathammo, Wat Pa Rattanawan
Phra Achan Chayasaro, Ashram Chana Mara
Phra Ajarn Wachiro Theravada, Buddhist Temple
Phra Achan Khemanantho, Wimokkharam monks' residence
Phra Khru Thumkhetwimon (Saithong Hemko), Wat Pa Na Wa
Phrakhru Phawanachai Mongkol (Sunthorn Thantachitto), Wat Pa Chai Mongkol (Phon Rang)
Phra Khru Banphot Worakit (Boonmee Piyadhammo), Wat Bueng. Khao Luang
Phra Khru Sumon Phothisuwan (Sonthaya Sumano), Thep Pho Thong Temple
Phra Khru Patchara Burapha Phirom (Saman Wachiro), Pa Burapha Temple
Phra Athikarn Sawang Paphassaro, Wat Dong Charoen
Phra Achan Sawang Kor Layano, Pa Kham Charoen Monks' Residence
Phra Achan Chanthapalo, Santajittaram Temple
Phra Achan Wichit Aphipunyo, Huai Thalaeng Temple
Phra Ajarn Somporn Khantiphalo, Thudongtham Monks' Residence
Phra Acharn Bunmee Techadhammo, Wat Pa Thung Wua
Phrakhru Khamphi Sittitham (Lai Kamphiro), Wat Pa Bueng Thawai
Phra Athikan Thawin Thawaro, Wat Pa Nong Kung
Phra Achan Kruniko, Wat Pa Chittawiwake
Phra Khru Phattuan Khun (Prayat Opaso), Wat Pa Na Kae
Phra Ajahn Kalyano, Buddhapothiwana Temple
Phrakhru Santithamwithet (Preecha Chutintharo), Sanatchittaram Temple
Phra Ajarn Chattamaro, Wat Muttothai
Phra Athikan Uthen Kalyano, Temple Maneerat Forest
