Modified:,2025,,,,,,,,,,,,,,,,,,
0,Story,,,,Ajahn Chah gave the farang monks playful Thai names.,,Ajahn Chah,Humor,Thai,Ajahn Sumedho,Ajahn Amaro,,,,,,,,
0,,,8:10,9:02,So Luang Por Sumedho had a bit of a temper in the beginning?,,Ajahn Sumedho,Aversion,,,Ajahn Chah,Humor,,,,,,,
0,,,9:05.5,9:45,What was the nickname of Ajahn Amaro?,,Ajahn Amaro,Thai,,,Ajahn Chah,,,,,,,,
0,,,9:47,14:50,"In your long monastic life, have there been times that called for particular qualities to be developed?",,Ajahn Pasanno,Monastic life,Long-term practice,,Perfections,Not-self,Personality,Energy,Posture/Walking,,,Energy,150
0,Extra tags,,,,,,,,,,Sitter's practice,,,,,,,,
0,,,14:51,21:06,What is often the most neglected quality in individual monks? What are the most important qualities to develop for the benefit of the group?,,Monastic life,Saṅgha,,,Idealism,Drawbacks,Aspects of Understanding,Four Noble Truths,Patience,,,Idealism,200
0,Sutta,,,,SN 22.26: Assādasutta,,Aspects of Understanding,,,,,,,,,,,,
0,Quote,,,,"Other than me, everyone is irritating!",,Saṅgha,Patience,Aversion,Humor,,,,,,,,,
0,,,21:14.5,25:26,"What personal obstacles, either internal or external have you used as dhammas, stepping stones to lift yourself up and go beyond it?",,Ajahn Pasanno,Long-term practice,,,Fear,Ajahn Chah,Impermanence,Mindfulness of body,Knowing itself,,,Fear,140
0,Quote,,,,The anxious and fearful mind is always trying to find some certainty somewhere. And of course it isn't anywhere at all except in this present moment and in the quality of awareness that we have. But the personality doesn't believe that for a long time.,,Fear,Impermanence,Present moment awareness,Knowing itself,,,,,,,,,
0,Indirect quote,,,,Be careful of believing your mind because it's a liar and a cheat.|Ajahn Chah,,Ajahn Chah,Nature of mind,,,,,,,,,,,
0,,,25:28.5,29:48,How do you respond to claims that religion and Buddhism specifically is escapist?,,Theravāda,Saṃsāra,Escape,,Discernment,Questions,Liberation,Compassion,,,,,
0,Indirect quote,u,,,"""What is the mind of an enlightened being like?"" – ""Only compassion.""|Ajahn Mahā Boowa",,Ajahn Mahā Boowa,Arahant,Compassion,,,,,,,,,,
0,,,29:55.5,36:22,"When practicing to get out of the world, how does one avoid slipping into unhappiness with the world?",,Escape,Suffering,Happiness,,Saṃsāra,Not-self,Divine Abidings,Unattractiveness,Equanimity,,,,
0,Extra tags,,,,,,,,,,Gladdening the mind,Concentration,Knowledge and vision,,,,,,
0,Sutta,,,,MN 10.10: Contemplating the body as if it were a sack of grains.,,Unattractiveness,,,,,,,,,,,,
0,Sutta,s,,,"AN 6.10, AN 10.2: Causal chains yielding gladness (pāmojja) with different starting points.",,Gladdening the mind,,,,,,,,,,,,
0,,,37:38,43:13,How do we cultivate faith?,,Faith,,,,Culture/West,Sutta,Ajahn Pasanno,Buddha images,Devotional practice,,,Faith,140
0,Extra tags,,,,,,,,,,Recollection/Saṅgha,,,,,,,,
0,Recollection,,,,Ajahn Liem estimates he has built at least 20 monasteries.,,Ajahn Liem,Building projects,Master Hsu Yun,,,,,,,,,,
0,,,43:17,45:36,"We can control unwholesome acts of body and speech through precepts, but whatever pops up in the mind we mostly can't control. But how is kamma formed in the mind? Should we control that thing or should it be let go?",,Precepts,Nature of mind,Kamma,,Suffering,Relinquishment,Ajahn Chah,Volition,,,,,
0,Sutta,,,,MN 19: Two Kind of Thought,,,,,,,,,,,,,,
0,,,45:40.5,49:54,"Whatever you do, if you do it with care and attention, it takes longer. If I rush, the task would not be done so well. How do we give care and attention in a quick manner?",,Mindfulness,Clear comprehension,Time management,,Right Mindfulness,Ardency,,,,,,,
0,Story,,,,A man moves so slowly paying care and attention that he annoys his family.,,Mindfulness,Family,,,,,,,,,,,
0,Quote,,,,A good thief is really mindful.|Ajahn Chah,,Ajahn Chah,Mindfulness,,,,,,,,,,,
0,,,49:55,53:09,"When I meditate in a cold, open area, my mind goes to sleep. What do you suggest?",,Sloth and torpor,,,,Posture/Sitting,Hindrances,,,,,,,
0,,,53:10,,"When you started teaching and taking on the role of leader of a community, did that affect the way you related to your own practice because you were being seen by others, having to be more careful about conduct?",,Ajahn Pasanno,Abbot,Leadership,,Wat Pah Nanachat,Ajahn Chah,Fear,Faith,Culture/Thailand,,,,
0,Indirect quote,0,,,"Ajahn Chah always emphasized, ""Whatever you're doing, you have to learn from it.""",,Ajahn Chah,Learning,,,,,,,,,,,
