Modified:,2025,,,,,,,,,,,,,,,,,,
1,Vinaya,,,,"The famine in Verañjā (BuPj 1.2.1, [Brahmali translation](https://suttacentral.net/pli-tv-bu-vb-pj1/en/brahmali?layout=linebyline&reference=main/bj&notes=asterisk&highlight=false&script=latin#2.1.1))",,Buddha/Biography,,,,,,,,,,,,
1,Recollection,,,,The vast majority of 20th century Thai meditation masters are from the Northeast. They come from a region and area of great difficulty.,,Culture/Thailand,History/Thai Buddhism,Poverty,Thai Forest Tradition,Patience,Energy,Faith,,,,,,
1,Recollection,,,,More Westerners came to study with Ajahn Chah than Central or Southern Thais.,,Ajahn Chah,History/Western Buddhist monasticism,Culture/Thailand,,,,,,,,,,
1,,,47:54,,What are your thoughts about maintaining a practice you're at the bedside of someone actively passing away?,,Sickness,Death,,,Listening,Fear,Personal presence,Intuition,,,,Death,140
1,Edited audio,,,4:25,Path2019_S01_F14.mp3,,,,,,,,,,,,,,
1,Story,,,,Ram Dass anxiously tries to guide his stepmother through the dying process.,,Ram Dass,Death,Teaching Dhamma,Restlessness and worry,Mindfulness of mind,Recollection/Death,,,,,,,
1,,,52:21,53:47,Was there specific advice from the Buddha to the monks about [advising a dying person]?,,Monastic life,Death,,,Sickness,Compassion,Goodwill,,,,,,
1,Vinaya,,,,Mv 8.26.7: Attributes of a carer.,,Compassion,Goodwill,,,,,,,,,,,
1,,,53:49,55:16,"When you talk about conditioning, how does this relate to Pavlovian conditioning?",,Conditionality,Science,,,Habits,,,,,,,,
1,,,55:34,,"The Buddha had the talent of knowing precisely what to say to a person at a given moment. The teaching ajahns have developed this as well, but I've never heard of it as part of the training. Can you reflect on that?",,Teaching Dhamma,Buddha/Biography,Monastic teachers,,Personality,Discernment,Idealism,Ajahn Chah,Suffering,,,,
1,Extra tags,,,,,,,,,,Humility,Relinquishment,Fear,Self-identity view,,,,,
1,,,1:02:27,,"Before we relinquish the self, there needs to be a recognition of what's going on. I often realize this minutes or hours later. Any suggestions for this initial step of noticing?",,Relinquishment,Self-identity view,Mindfulness,,Investigation of states,Mindfulness of feeling,Cessation,Spaciousness,,,,,
1,Comment,,1:05:35,1:11:32,"I have one of these thinking minds, and over the years I'm learning more and more to just watch where my thoughts go. I'm getting more comfortable with that. At the same time, I've heard teachings that as you improve your concentration on the primary object, your mindfulness increases as well.",,Directed thought and evaluation,Mindfulness,Concentration,,,,,,,,,,
1,Response,,,,,,Language,Generosity,Conditionality,Desire,Craving,,,,,,,,
1,Quote,,,,"The same word that is translated as concentration in English, when it's translated in Thai, is 'the firm establishing of the mind.' That has a different feel to it.",,Concentration,Translation,Thai,,,,,,,,,,
1,,,1:11:38,1:14:23,"Did Buddhism find you in Northern Manitoba, or did you leave? What led you to Buddhism?",,Ajahn Pasanno,,,,Learning,Culture/West,Zen,Culture/Thailand,,,,,
2,,,0:33,,"In Canada, medical assistance in death is legal. As an old person who will be sick and dying not too far off, it raises the question: If I got to the point where I felt even with good palliative and hospice care, I couldn't withstand the pain any longer, it's an option. But what about the first precept of not taking life?",,Sickness,Pain,Death,Health care,Relinquishment,Self-identity view,Idealism,,,,,Health care,300
2,Extra tags,,,,,,Euthanasia,Killing,,,,,,,,,,,
2,Edited audio,,,,Path2019_S02_F01.mp3,,,,,,,,,,,,,,
2,Quote,,,,"Being present for the falling apart of the body opens doorways to release that don't really happen with, 'I just want to be done with this. This totally sucks.'",,Present moment awareness,Death,Mindfulness of body,Release,Aversion,Fear,Clinging,Saṃsāra,Self-identity view,,,,
2,,,6:55,11:25,"For some people, death comes with extreme pain. Part of being able to navigate through the dissolution of self requires clarity of mind. My understanding is that a lot of pain management involves morphine or other mind-numbing drugs. How does one navigate the pain?",,Death,Pain,Relinquishment,Self-identity view,Fear,,,,,,,,
2,Extra tags,,,,,,Clear comprehension,Health care,Intoxicants,,,,,,,,,,
2,,,11:31,,"According to the first precept, how would you look at the case of abortion?",,Killing,Abortion,,,Vinaya,Politics and society,Judgementalism,Health care,,,,,
2,,,13:30,14:57,What about animal euthanasia?,,Animal,Euthanasia,Killing,,Compassion,Sickness,Ageing,,,,,,
2,,,15:00,,"Years ago I considered the Buddha someone who practiced harm reduction. But having worked in the field, I've started to have a lot of conflict around when people request paraphernalia to help them use [drugs]. The idea is to keep them alive, but now it's become very complicated because people are still dying. Is this a violation of right livelihood? Could you speak about wisdom and compassion?",,Intoxicants,Health care,Death,Right Livelihood,Right Intention,Crime,Politics and society,,,,,,
2,Extra tags,,,,,,Discernment,Compassion,Gratitude,,,,,,,,,,
2,Quote,,,,"As a person who is trying to help, you have to learn harm reduction to yourself.",,Compassion,Health care,Depression,Discernment,,,,,,,,,
2,Comment,,22:29,,"I'm concerned about how much time people spend on computers, and I think it's sad that people use electronic devices rather than talk with each other.",,Technology,Community,,,,,,,,,,,
2,Response,,,,,,,,,,,,,,,,,,
2,Follow-up,,,,"Should I say anything to my son who is on his device half the time during his brief, infrequent visits?",,Children,Technology,Right Speech,,,,,,,,,,
2,Story,,,,Abhayagiri's computer policy for monks.,,Abhayagiri,Social media,Sense restraint,Vinaya,,,,,,,,,
2,,,28:25,36:40,You spoke this morning about how monks don't have money and don't handle money. How does a monastery deal with purchasing materials?,,Not handling money,Commerce/economics,,,Monastery organizational structure,Mutual lay/Saṅgha support,Abhayagiri,Building projects,Almsfood,,,,
2,Story,,,,A wheel falls off the old Abhayagiri van.,,Abhayagiri,Simplicity,Monastery organizational structure,Mutual lay/Saṅgha support,,,,,,,,,
2,Comment,,36:45,,"Yesterday you differentiated between chanda and taṇhā. Nature has always had a strong attraction for me, and I was uneasy because I thought this was a kind of craving. Three or four years ago, Ajahn Tiradhammo gave a talk and I asked him about this. He said, 'Don't worry about it. There's good craving and bad craving.' Your teaching has clarified this for me.",,Desire,Craving,Culture/Natural environment,Ajahn Tiradhammo,,,,,,,,,
2,Extra tags,,,,,,Gratitude,,,,,,,,,,,,
2,Response,,,,,,Happiness,Ajahn Viradhammo,Animal,,,,,,,,,,
2,,,39:28,,"When strong feelings associated with conceit come, what to do?",,Conceit,Feeling,,,Noble Truth of Suffering,Mindfulness of feeling,Clear comprehension,Nutriment,Relinquishment,,,,
2,Extra tags,,,,,,,,,,Patience,,,,,,,,
2,,,42:01,,"I find a lot of meditation time is taken up with psychoanalyzing and thinking, 'Oh, this is a discovery!' What is the line between realizing that you're caught again?",,Meditation,Western psychology,Directed thought and evaluation,,Mindfulness of feeling,Proliferation,Clear comprehension,,,,,,
2,Comment,,43:36,48:44,"I'm improving my skill at seeing the greed or aversion when there are pleasant or unpleasant feelings, but I often don't see the neutral feeling state so clearly.",,Mindfulness of feeling,Feeling,Unwholesome Roots,Neutral feeling,Mindfulness of body,Restlessness and worry,Fear,Present moment awareness,,,,,
2,Extra tags,,,,,,Delusion,,,,,,,,,,,,
2,Response,,,,,,,,,,,,,,,,,,
2,Indirect quote,,,,"That whereby one is a conceiver of the world, a perceiver of the world, that is the world.|SN 35.116",,Nature of the cosmos,Proliferation,Perception,,,,,,,,,,
2,,,48:49,52:15,Could you talk about the difference between experiencing an unpleasant feeling and perpetuating an unpleasant feeling?,,Feeling,Discernment,Cessation of Suffering,,Compassion,Mindfulness,Patience,Suffering,,,,Feeling,120
2,Edited audio,,,,Path2019_S02_F12.mp3,,,,,,,,,,,,,,
2,Simile,,,,Two arrows (SN 36.6).,,Feeling,Suffering,,,,,,,,,,,
2,,,52:25,57:40,"I live with my 96-year old mother. Her mind is quite good, but her body is ageing and there is pain in both legs. She has a stubborn will to carry on. We have our fights, but get through them quickly. I'm wanting to go to another level to develop patience. Can you comment?",,Ageing,Parents,Pain,Patience,Empathetic joy,Ajahn Pasanno,Relinquishment,Gratitude,Idealism,,,,
2,Quote,,,,Even monks have mothers.,,Ajahn Pasanno,Parents,,,,,,,,,,,
2,,,57:42,1:03:07,"Even reading scripturally-oriented material can be used as an escape; it's easier than meditating. I was wondering about the precept on entertainment, beautification and adornment. Can you give some advice on how to interpret this in practical terms?",,Learning,Craving not to become,Entertainment and adornment,,Idealism,Discernment,Idle chatter,Spiritual friendship,Faith,,,,
2,Extra tags,,,,,,,,,,Media,Ajahn Soṇa,Abhayagiri,Dhamma online,Ajahn Pasanno,,,,
