0,Story,,,,Ajahn Pasanno's first visit to Wat Pah Pong.,,Ajahn Pasanno,Wat Pah Pong,Saṅgha,Temporary ordination,Lunar observance days,Mutual lay/Saṅgha support,Thai Ajahn Chah monasteries,,,,,Wat Pah Pong,90
0,,,30:07,,How closely do you and the other monks live together?,,Monastic life,Saṅgha,Abhayagiri,,Ajahn Chah,Communal harmony,Vinaya,Seclusion,Culture/West,,,Communal harmony,130
0,Extra tags,,,,,,,,,,Culture/Thailand,Monastic routine,,,,,,,
0,Indirect quote,,,,Human beings. Those are beings with issues.|Ajahn Chah,,Ajahn Chah,Human,Conflict,,,,,,,,,,
0,,,36:44,41:19,"When you first ordained, you were just starting to learn about Buddhism. What changed that made you want to dive in?",,Ajahn Pasanno,,,,Meditation/Results,Ajahn Chah,,,,,,,
0,Story,,,,"""If you want to stay with me, you have to stay at least five years."" — Ajahn Chah",,Ajahn Chah,Ajahn Pasanno,,,,,,,,,,,
0,,,41:28,,Will we get to see your kuti today?,,Abhayagiri,Lodging,,,,,,,,,,,
0,Story,,,,Early history of Abhayagiri Monastery.,,Abhayagiri,History/Western Buddhist monasticism,,,Master Hsuan Hua,Seclusion,Culture/Natural environment,,,,,,
0,,,47:22,49:16,What was the hardest thing to give up?,,Ajahn Pasanno,Renunciation,,,Family,,,,,,,,
0,Story,,,,Ajahn Pasanno's first visit back to Canada.,,Ajahn Pasanno,Family,,,,,,,,,,,
0,,,49:22,,"In a Latin American country, the government privatized the water supply and passed a law making it illegal to collect rainwater. Everyone had to buy their water from Nestlé. Does this count as taking what is not given?",,Stealing,Politics and society,Environment,,Ajahn Pasanno,Culture/Thailand,,,,,,,
0,,,53:17,59:40,I have doubts about the concept of personal property. How does activism following the Five Precepts work in a country whose water supply has been bought out by private interests?,,Politics and society,Environment,Five Precepts,,Community,Virtue,Discernment,,,,,,
0,Story,,,,Ajahn Pasanno investigates a logging operation at Dtao Dtum.,,Ajahn Pasanno,Politics and society,Environment,Culture/Thailand,Dtao Dum,,,,,,,,
0,,,1:00:18,,"If you could give your younger self one piece of information, what would it be?",,Ajahn Pasanno,,,,Restlessness and worry,Fear,,,,,,,
0,,,1:00:41,,What were you like when you were 18?,,Ajahn Pasanno,,,,Delusion,Spiritual search,Intoxicants,Relationships,,,,,
0,Comment,,1:04:22,,I haven't heard any Buddhist teachers talk about wholesome romantic relationships.,,Relationships,Skillful qualities,,,,,,,,,,,
0,Response,,,,,,Family,Treasures,,,,,,,,,,,
0,Sutta,-,,,AN 4.55 Samajīvī Sutta,,Relationships,Virtue,,,,,,,,,,,
0,,,1:06:30,1:18:45,Can you talk about your environmental work in Thailand? What qualities of heart and inner strength help us live without being completely overwhelmed?,,Ajahn Pasanno,Environment,History/Thai Buddhism,,Politics and society,Culture/Thailand,Greed,Teaching Dhamma,Panyaprateep School,,,Environment,200
0,Extra tags,,,,,,,,,,Food,Dtao Dum,Activism,,,,,,
0,Story,,,,Sri Lankan monastic kidney donors.,,Environment,Health,History/Sri Lankan Buddhism,Generosity,,,,,,,,,
0,,,1:18:48,1:20:01,What is the most important thing we can do to help the next generation in terms of the environment?,,Environment,,,,Simplicity,Contentment,Greed,,,,,Environment,70
0,Edited audio,,,,Teen2017_S00_F13.mp3,,,,,,,,,,,,,,
0,Story,,1:20:17,,Ajahn Pasanno teaches communication skills to Thai villagers.,,Ajahn Pasanno,History/Thai Buddhism,Media,Community,Environment,Politics and society,,,,,,,
0,,,1:21:38,1:25:45,What are the biggest misconceptions about being ordained?,,Monastic life,,,,Selfishness,,,,,,,Selfishness,90
0,Extra tags,,,,,,,,,,,,,,,,,Monastic life,90
0,Edited audio,,,,Teen2017_S00_F15.mp3,,,,,,,,,,,,,,
0,Story,,,,"Ajahn Pasanno visits Ajahn Buddhadāsa: ""Don't be selfish!""",,Ajahn Buddhadāsa,Ajahn Pasanno,Selfishness,,,,,,,,,,
0,,,1:25:49,,What was your greatest desire as a kid?,,Ajahn Pasanno,Desire,,,Monastic life/Motivation,Truth,,,,,,,
0,,,1:26:47,,Are there monastics who wander around the world without any home base or destination?,,Monastic life,Tudong,,,Ajahn Sucitto,Sequence of training,Rains retreat,Abhayagiri,,,,Tudong,110
0,Extra tags,,,,,,,,,,Requisites,Ajahn Ñāṇiko,Almsround,Culture/West,,,,,
0,Extra tags,,,,,,,,,,Almsfood,Not handling money,Generosity,,,,,,
0,,,1:33:26,,Have you broken any precepts where only you know if you broke them?,,Vinaya,Ajahn Pasanno,,,Right Speech,,,,,,,,
0,Story,,,,Ajahn Pasanno's uncle offers him alcohol.,,Ajahn Pasanno,Intoxicants,Vinaya,Truth,,,,,,,,,
0,,,1:35:50,1:36:40,"For the sake of the precepts, what's the definition of gossip?",,Precepts,Malicious speech,Idle chatter,,,,,,,,,,
0,,,1:36:45,1:38:22,Does gossip include talking about someone who is not present for entertainment value?,,Malicious speech,Idle chatter,,,Communal harmony,Abhayagiri,,,,,,Malicious speech,140
0,,,1:38:26,1:40:10,Is the point of the precepts to create as much well-being and as little pain in your environment as possible?,,Precepts,Happiness,,,Non-contention,Communal harmony,Trust,,,,,Precepts,110
0,,,1:40:16,,Is the philosophy of this community totally against fun?,,Monastic life,Entertainment and adornment,Happiness,Recreation/leisure/sport,Association with people of integrity,Culture/Natural environment,,,,,,,
0,Comment,,1:42:00,,Some of the things that monastics avoid due to their precepts can be really beautiful.,,Monastic life,Vinaya,,,,,,,,,,,
0,Response,,,,,,,,,,,,,,,,,,
0,,,1:43:19,1:45:10,"Apart from cheating in a relationship or sexual assault, what is sexual misconduct?",,Sexual misconduct,,,,Relationships,,,,,,,Sexual misconduct,130
0,,,1:45:26,,"When all of the solar panels will be put in, how much of the monastery's energy needs will be met?",,Environment,Abhayagiri,,,,,,,,,,,
0,,,1:48:16,,When's your birthday?,,Ajahn Pasanno,,,,,,,,,,,,
0,,,1:48:39,1:49:55,Do the monks give each other massages?,,Monastic life,Health,,,Culture/Thailand,,,,,,,,
0,,,1:50:00,,What do you think of our president right now?,,Politics and society,,,,Right Speech,,,,,,,,
0,,,1:52:42,,What precepts don't most people know about that have a big effect on your life?,,Monastic life,Vinaya,,,Mutual lay/Saṅgha support,Requisites,Mindfulness,Communal harmony,,,,Vinaya,70
0,,,1:55:52,2:01:34,Do monastics talk with each other about the precepts they have broken or having wrong thoughts?,,Monastic life,Vinaya,Saṅgha,Christianity,Pāṭimokkha,Confession,Rains retreat,Learning,Abhayagiri,,,,
0,Extra tags,,,,,,,,,,Faith,,,,,,,,
