Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
4,,,0:54,,How do you deal with a friend who has commited suicide and the despair and grief that comes with that? How do you support a friend who has feelings of seeking annihilation and wanting to kill themselves?,AP,Suicide,Depression,Grief,Craving not to become,Guilt/shame/inadequacy,Compassion,Suffering,Language,Cessation of Suffering,,,,
4,Extra tags,,,,,,,,,,Fear,,,,,,,,
4,Quote,,,,Compassion is a skillful or beautiful response to the suffering of the world.,,Compassion,Suffering,Skillful qualities,,,,,,,,,,
4,,,6:48,,I am concerned about the clarity of mind if I have prolonged pain. How does one face death skillfully if one is in constant serious pain?,AP;AKd,Pain,Ageing,Tranquility,Death,Long-term practice,,,,,,,,
4,Sutta,,,,SN 55.22: Mahānāma worries about death.,,Death,Similes,,,,,,,,,,,
4,,,13:12,,Could you say more about recollection of death and the healthy desire to have something fall away?,AP,Craving not to become,Recollection/Death,Relinquishment,,Cessation,Middle Path,Right View,,,,,,
4,Sutta,,,,MN 26.19: The Buddha doubts whether anyone will understand.,,Buddha/Biography,,,,,,,,,,,,
4,Comment,,18:21,,"Sometimes when I contemplate maraṇassati, a strong sense of saṃvega will come over me and work seems pointless. But I'm currently in lay life, so if I get so much saṃvega that I don't want to work, this is a problem.",,Recollection/Death,Spiritual urgency,Work,Lay life,,,,,,,,,
4,Response,,,,,AKd;ANy,Right Effort,Discernment,Skillful qualities,,,,,,,,,,
4,,,22:22,25:09,"How is suicide reconciled with the First Precept, the precept against taking life?",AP;ANy,Suicide,Killing,,,Vinaya,,,,,,,,
4,Cut audio,,24:06,24:27,,,,,,,,,,,,,,,
4,Sutta,,,,MN 144: Channovāda Sutta.,,,,,,,,,,,,,,
4,,,25:24,28:30,What about a serious practitioner who refuses machines and procedures to extend life?,AP;AKd,Health care,Suicide,Aversion,,Relinquishment,,,,,,,,
6,Reflection,s,1:05,,on 28 years.,AP,Community,Monasteries,,,Saṅghapāla,Lay supporters,Debbie Stamp,Ajahn Karuṇadhammo,Mutual lay/Saṅgha support,,,,
6,Reflection,,,,It's the community and the people that really creates the monastery.,,Community,Monasteries,,,,,,,,,,,
6,Reflection,,4:35,8:24,The early days of Abhayagiri were simple and basic.,AP,Requisites,,,,Lay supporters,Building projects,Generosity,Mutual lay/Saṅgha support,,,,,
6,Quote,,,,It was like a Buddhist trailer park.,,Abhayagiri,Lodging,,,,,,,,,,,
6,Recollection,,8:29,10:14,of the deaths of key Abhayagiri contributors.,AP,Death,Lay supporters,,,Recollection/Death,Generosity,,,,,,,
6,Other,,10:31,11:54,Description of Eric Erikson's eighth stage of psychological development: Integrity versus Despair by {teachers}.,AKd,Western psychology,Recollection,,,Ajahn Karuṇadhammo,Ageing,,,,Yes,,,
6,Recollection,3,11:56,15:49,How I decided to ordain at Abhayagiri.,AKd,Ajahn Karuṇadhammo,Monastic life/Motivation,,,Ajahn Amaro,Ajahn Pasanno,Ajahn Sumedho,Wat Pah Nanachat,,,,,
6,Story,,15:49,18:02,The first few years of Abhayagiri.,AKd,,,,,Ajahn Amaro,Ajahn Karuṇadhammo,Ajahn Visuddhi,Debbie Stamp,Lodging,,,,
6,Extra tags,,,,,,,,,,Ajahn Pasanno,,,,,,,,
6,Reflection,,18:03,20:41,"First and foremost, this is a training monastery.",AKd,Monastic life,,,,Mutual lay/Saṅgha support,Truth,Vinaya,,,,,,
6,Recollection,3,21:03,30:26,I arrived when Abhayagiri turned five.,ANy,Ajahn Ñāṇiko,,,,Ajahn Karuṇadhammo,Ajahn Sudanto,Ordination,Debbie Stamp,Sīladharā,,,,
6,Recollection,,,,The little house was the beating heart of Abhayagiri.,,Abhayagiri,Lodging,,,Ajahn Amaro,Ajahn Pasanno,Questions,Gratitude,Goodwill,,,,
6,Quote,,,,I want to ordain. What do I do?|— Ajahn Ñāṇiko's first email to the Abhayagiri guestmonk.,,Ajahn Ñāṇiko,Abhayagiri,,,Ajahn Achalo,Ordination,Idealism,,,,,,
6,Story,,,,"""Look, I'm not here to make friends. I'm here to practice.""",,Ajahn Ñāṇiko,Ajahn Achalo,Idealism,Spiritual friendship,,,,,,,,,
6,Indirect quote,,,,Don't think about it too much.|Ajahn Pasanno to Ajahn Ñāṇiko,,Ajahn Pasanno,Ajahn Ñāṇiko,Monastic life/Motivation,Proliferation,,,,,,,,,
6,Recollection,,30:53,,When I first arrived at Abhayagiri.,ACu,Ajahn Cunda,,,,Lodging,Ajahn Karuṇadhammo,Wat Metta,,,,,,
6,Story,,34:22,36:12,Chatting loudly with the windows open.,ACu,Ajahn Cunda,Idle chatter,,,Ajahn Pasanno,Admonishment/feedback,,,,,,,
6,Story,,36:12,,Living down the street from Abhayagiri for Winter Retreat 2006.,ACu,Ajahn Cunda,,,,Lodging,Weather,Ajahn Karuṇadhammo,,,,,,
6,Story,,39:13,40:56,"What ""duly noted"" means in English.",ACu,Language,,,,Ajahn Amaro,Ajahn Cunda,,,,,,,
6,Reflection,o,40:55,,Training under the co-abbots.,ACu,Abbot,Ajahn Amaro,Ajahn Pasanno,Monastic life,Craving,Teaching Dhamma,Communal harmony,Ajahn Yatiko,Ajahn Karuṇadhammo,,,,
6,Extra tags,,,,,,Mentoring,,,,,,,,,,,,
6,Indirect quote,,,,Two tigers in one cave.|Thai saying,,Leadership,Culture/Thailand,,,,,,,,,,,
6,Reflection,s,43:55,45:35,on my early training.,ACu,Ajahn Cunda,,,,Ajahn Amaro,Ajahn Ñāṇiko,Monastic life,,,,,,
6,Indirect quote,,,,Don't worry. The first 20 years are the hardest.|Ajahn Amaro,,Ajahn Amaro,Monastic life,Sequence of training,Suffering,,,,,,,,,
6,Story,,45:36,47:14,"From rough beginnings, J contributes to the Abhayagiri community for six years.",ACu,Lay supporters,,,,Ajahn Kassapo,Food,Personality,Death,,,,,
6,Recollection,3s,47:35,49:46,Abhayagiri history: The people and the places.,AThp,,,,,Community,Sharing circles,Ajahn Ṭhitapañño,Devotion to wakefulness,Lunar observance days,,,,
6,Reflection,3,49:48,,Why do some people stay and some people go?,AThp,Ajahn Ṭhitapañño,Ajahn Amaro,Monastic life,,Worldly Conditions,,,,,,,,
6,Reflection,3,50:25,50:54,A long-term sense of extended family.,AThp,Community,,,,,,,,,,,,
6,Reflection,s,51:24,56:38,on his first year at Abhayagiri.,ASdr,Ajahn Sudhīro,,,,Emotion,Suffering,Monastic life,Community,Communal harmony,,,,
6,Extra tags,,,,,,,,,,Food,Ajahn Pasanno,Happiness,,,,,,
6,Reflection,3o,56:37,58:10,What has and hasn't changed at Abhayagiri.,ASdr,Unwholesome Roots,Three Refuges,,,,,,,,,,,
6,Simile,,,,An oasis in a desert.,,Abhayagiri,Similes,,,,,,,,,,,
