Modified:,2025,,,,,,,,,,,,,,,,,,
3,Extra tags,,,,,,,,,,Judgementalism,Monastic life,,,,,,,
3,Sutta,,,,"Chanting Book p. 46: The Highest Blessings (Mangala Sutta, SN 2.4)",,,,,,,,,,,,,,
3,,,8:15,,Can you say more about the practice of awareness of arising and ceasing in relation to discernment and right view?,,Becoming,Cessation,Mindfulness,Discernment,Impermanence,Ajahn Chah,Conditionality,Self-identity view,Happiness,,,,
3,Extra tags,,,,,,Right View,,,,Mindfulness of mind,Patience,,,,,,,
3,Reading,,,,from an unnamed recent Ajahn Chah book.,AChah,Ajahn Chah,Relinquishment,Practicing in accordance with Dhamma,Discernment,,,,,,,,,
3,Indirect quote,,,,I don't teach you guys much. Just be patient.|Ajahn Chah,,Ajahn Chah,Patience,,,,,,,,,,,
3,,,16:21,,What is the role of emotion in our practice?,,Emotion,Feeling,,,Faith,Compassion,Generosity,Four Noble Truths,Relinquishment,,,,
3,Extra tags,,,,,,,,,,Discernment,,,,,,,,
3,Comment,,19:21,,I find that the experience of uncertainty and loss can give rise to compassion.,,Impermanence,Grief,Compassion,,,,,,,,,,
3,Response,,,,,,Right View,Emotion,Teaching Dhamma,Ardency,,,,,,,,,
3,,,20:34,,"Given the situation in Burma with Buddhist monks fomenting violence against Muslims, how do you determine whether to respond to that vocally or publically?",,History/Other Theravāda traditions,Conflict,Politics and society,Monastic life,Military,,,,,,,,
3,Extra tags,,,,,,Islam,Right Speech,Media,,,,,,,,,,
3,,,26:11,,"I appreciate your emphasis on clarity, stability, and spaciousness. How does concentration relate to these?",,Clear comprehension,Unification,Spaciousness,Concentration,Pāli,Thai,Etymology,Tranquility,Happiness,,,Concentration,120
3,Extra tags,,,,,,,,,,Rapture,Conditionality,,,,,,,
3,Sutta,s,,,AN 10.3: Virtuous Behaivor; AN 6.10 Mahānāma,,Virtue,,,,,,,,,,,,
3,Quote,,,,"The way my mind worked before was, 'Boy, when I get my concentration together, I'm going to be happy...'",,Ajahn Pasanno,Happiness,Concentration,Conditionality,,,,,,,,,
3,Quote,,,,The happy mind is easily concentrated.,,Happiness,Concentration,Hindrances,Relinquishment,Knowledge and vision,,,,,,,,
3,,,33:53,36:06,"For me, the practice starts with concentration to get to a place of well-being. Is there a missing piece here?",,Concentration,Happiness,,,Cultural context,Generosity,Precepts,Culture/West,Western psychology,,,,
3,Extra tags,,,,,,,,,,Meditation,,,,,,,,
3,Quote,,,,It is helpful to get a picture of the whole path and realize how integrated and mutually nourishing those path factors are.,,Eightfold Path,Practicing in accordance with Dhamma,,,,,,,,,,,
3,,,36:12,,"When we say right Eightfold Path, is there any general rule to tell what is right, what is wrong?",,Eightfold Path,Skillful qualities,Unskillful qualities,,Unwholesome Roots,,,,,,,,
3,,,37:19,,How is the path like a traffic circle?,,Eightfold Path,,,,Conditionality,,,,,,,,
