0,Indirect quote,,,,Don't believe your mind. It's a liar and a cheat.|Ajahn Chah,,Ajahn Chah,Heart/mind,False speech,Delusion,,,,,,,,,
0,,,1:00:35,1:01:35,"What are spontaneously reborn beings? [in the context of Right View, e.g. MN 117]",,Rebirth,Realms of existence,Right View,,Deva,Birth,Ghost,,,Yes,,,
0,,,1:01:42,1:09:08,There's been a lot of discussion lately about how information sources cater to their own little niche. Do you have advice about information sources?,,Media,News,,,Internet,Commerce/economics,Advertizing,Non-profit organizations,,,,,
0,,,1:09:12,1:18:15,I'm left with a deep sadness about the state of the world. I suppose that's no different than struggling with sadness about the human condition?,,Grief,Suffering,Human,,Compassion,Depression,Desire,Right Effort,Disenchantment,,,,
0,Extra tags,,,,,,,,,,Conventions,,,,,,,,
0,,o,1:12:18,1:17:06,Can you say more about how disenchantment can be uplifting?,,Disenchantment,Gladdening the mind,,,Translation,Bhikkhu Bodhi,Suffering,Skillful qualities,Progress of insight,,,,
0,Indirect quote,,,,There's no known defense against cheesecake.|Ajahn Sucitto,,Ajahn Sucitto,Food,Sensual desire,,,,,,,Yes,,,
0,Comment,,1:18:17,1:19:32,Keeping in mind that everything is cyclical helps me look at the state of the world.,,Saṃsāra,Lawfulness,,,,,,,,,,,
0,Response,,,,,,Right Effort,,,,,,,,,,,,
0,Comment,,1:19:36,1:21:51,One thing I've gotten from Trump is the equanimity to listen to his supporters on a one-on-one basis.,,Equanimity,Listening,Respect,,,,,,,,,,
0,Response,,,,,,Fear,Human,Suffering,Community,,,,,,,,,
0,Reference,-,,,"_Left, Right & Center_ Podcast.",,,,,,,,,,,,Yes,,
0,,,1:22:04,1:25:11,How to work with suspicion skillfully? Is it a combination of looking at the fact as well as your gut feeling?,,Doubt,Intuition,,,Unwholesome Roots,Right Effort,Mindfulness of body,,,,,,
0,,,1:25:15,,"Some of my suffering in the current situation comes from feeling compassion with regard to specific suffering that I'm aware of and not acting in response to it. What are helpful stories to frame a patient, long-term effort to effect change?",,Suffering,Compassion,Patience,Long-term practice,Association with people of integrity,Right Effort,,,,,,,
0,Extra tags,,,,,,Kamma,Activism,Views,,,,,,,,,,
0,Quote,,,,And just because one doesn't see results doesn't mean one shouldn't do something....To put the causes into something–that's the only way that change is going to happen.,,Politics and society,Activism,Conditionality,,,,,,,,,,
0,Story,,1:28:33,1:31:00,"Someone asks Ajahn Pasanno, ""You've been putting a lot of effort into protecting forests in Thailand. Do you think the forests will be protected?""",,Ajahn Pasanno,Culture/Thailand,Environment,Activism,Learning,Right Livelihood,,,,,,,
0,Story,,1:31:07,1:32:24,Ajahn Pasanno returns to Dtao Dum and sees the forest regenerated.,,Ajahn Pasanno,Dtao Dum,Environment,,Industry,Happiness,Conditionality,,,,,,
0,,,1:33:29,1:34:33,"Is this along the concept of Right Effort in a global sense? Not getting attached to the outcome, but yet finding something that's important enough to put some energy into?",,Right Effort,Activism,,,Kamma,Energy,,,,,,,
0,Quote,,,,There's no such thing as doing nothing.,,Kamma,,,,,,,,,,,,
0,,,2:57:10,3:01:05,Did Ajahn Chah ever speak about politics?,,Ajahn Chah,,,,Fear,Proliferation,History/Thai Buddhism,Military,,,,,
0,Story,,,,Driving through military checkpoints on the way to Ajahn Fun's funeral.,,Ajahn Fun,Funerals,Military,Ajahn Chah,Ajahn Pasanno,,,,,,,,
0,,,3:29:00,3:31:16,"I keep mostly to myself, but morality and ethics affects the jist of my involvement in society. What should I be doing further to address social suffering?",,Virtue,Community,Suffering,Right Effort,Spiritual friendship,Goodwill,,,,,,,
0,,,3:31:25,3:35:46,One of the reflections that was sent online described Ajahn Chah's response to monks who wanted to go out and help refugees. Can you speak to this?,,Ajahn Chah,Monastic life,Service,,Thai Ajahn Chah monasteries,Military,Conflict,,,,,,
0,Story,,,,Ajahn Pasanno spends time at a Cambodian refugee camp.,,Ajahn Pasanno,Preah Mahāghosānanda,Service,Conflict,,,,,,,,,
0,,,3:36:11,3:37:55,I spread lovingkindness from home and don't have the good fortune of meeting with like minds who practice to perfect sīla. Any suggestions?,,Lay life,Goodwill,Spiritual friendship,Virtue,,,,,,Yes,,,
0,Indirect quote,,,,Ajahn Chah to Ajahn Sumedho:|Do you mean to say there's no good people in America?|,,Ajahn Chah,Ajahn Sumedho,Virtue,Culture/West,,,,,,,,,
