Modified:,2025,,,,,,,,,,,,,,,,,,,
1,,,40:03,,"What about things that have an ostensibly benign purpose, such as pesticides and fertilizers used for raising food, but then in fact have quite harmful effects?",,Food,Environment,,,Commerce/economics,Politics and society,,,,,,,,
1,,,42:20,,Is there any instruction from the Buddha about how to deal with profit-motivated pharmaceutical research decisions?,,Buddha,Health care,Commerce/economics,,,,,,,,,,,
1,,,43:01,,Some people want to help but find themselves in situations in which profit dictates the priorities. How can they protect their integrity in such situations?,,Compassion,Health care,Commerce/economics,Right Intention,Education,Idealism,Requisites,Happiness,,,,,Right Livelihood,120
1,Story,,,,"Ajahn Karuniko studies engineering, then quits a job in the arms industry to become a monk.",,Right Livelihood,Education,Military,Monastic life/Motivation,,,,,,,,,,
1,Comment,,46:42,,It's not easy giving up the things we're used to in order to follow the path.,AKd,Renunciation,Eightfold Path,Clinging,Happiness,,,,,,,,,,
1,Response,,,,,,Suffering,Commerce/economics,,,,,,,,,,,,
1,,,49:12,50:11,"When quitting a job, should you consider the welfare of the next person who will fill it?",,,,,,,,,,,,,,,
1,Comment,,50:16,,Right Livelihood isn't about judging other people's livelihood.,AY,Judgementalism,,,,,,,,,,,,,
1,Response,,,,,,Eightfold Path,Pāli,Cessation of Suffering,Happiness,,,,,,,,,,
1,Comment,s,52:53,,about Temple Grandon designing low-anxiety slaughterhouses.,,Killing,Food,,,,,,,,,,,,
1,Response,,,,,,,,,,,,,,,,,,,
1,Quote,,55:03,55:34,"The Buddha's function was not to make grand pronouncements that apply universally, everywhere, all the time. He gave guidelines to relfect a variety of circumstances, personal effects, social effects, and then make a decision from there.",,Buddha,Idealism,Discernment,Conditionality,,,,,,,,,,
1,Extra tags,,,,,,Kamma,Community,Politics and society,,,,,,,,,,,
1,Comment,s,55:44,,about thinking versus feeling out the quality of the heart in decision making.,,Directed thought and evaluation,Mindfulness of mind,Discernment,Clear comprehension,,,,,,,,,,
1,Response,,,,,,,,,,,,,,,,,,,
1,Reading,,57:50,1:01:48,Constitution for Living p. 33.,,,,,,,,,,,,,,,
1,Reading,,1:01:56,,Constitution for Living p. 35.,,,,,,,,,,,,,,,
1,,,1:05:24,1:08:10,There are many people without access to resources for education or training without many choices. How does this all fit together?,,Poverty,Learning,Politics and society,,Buddha,Idealism,,,,,,,Poverty,140
1,Sutta,,,,DN 27: Agañña Sutta,,,,,,,,,,,,,,,
1,,,1:09:22,1:12:31,"In DN 31.26, what is investment versus savings?",,Commerce/economics,,,,,,,,,,,,Commerce/economics,120
1,Comment,s,,,by various participants about the nature of investment.,,Unskillful qualities,Greed,Work,,,,,,,,,,,
1,Sutta,-,,,DN 31.32: Siṅgālasutta Sutta: Five duties of an employer to employees; interpreted in Constitution for Living p. 7.,,,,,,,,,,,,,,,
1,Comment,s,1:12:38,,about the differences between ancient and modern economic systems and the importance of understanding and applying the Buddha's principles.,,Commerce/economics,Cultural context,Culture/West,Work,Food,Poverty,,,,,,,,
1,,,1:15:00,1:16:11,Do you know the qualities the employee is supposed to give the employer?,,Work,,,,,,,,,,,,,
1,Sutta,,,,DN 31.32: Siṅgālasutta Sutta,,,,,,,,,,,,,,,
1,Story,,1:16:17,1:20:19,The head of Lalanka Water invites monks to stay above his office and teach the employees.,AY,Work,Mutual lay/Saṅgha support,Teaching Dhamma,,Lunar observance days,Eight Precepts,Meditation,Dhamma discussion,Respect,,,,,
1,Story,,,,The ultra-competent assistant who wants to ordain.,,Work,Monastic life/Motivation,,,,,,,,,,,,
1,Story,n,,,The king's assistant who dives into the water to get 20 pounds of gold (DN 17).,,,,,,,,,,,,,,,
2,Summary,0n,Session,,++Note++: This session follows a period of small-group discussions.,,,,,,,,,,,,,,,
2,Comment,,0:21,1:24,"As our group spoke, our different perspectives converged on objects of the mind and how we meet them.",,Mindfulness of dhammas,,,,,,,,,,,,,
2,Response,,,,,,,,,,,,,,,,,,,
2,Comment,s,1:26,5:11,about the ways our work affects us.,,Work,Commerce/economics,,,Depression,Unskillful qualities,,,,,,,,
2,Response,,,,,,Human,Appropriate attention,,,,,,,,,,,,
2,,,8:50,19:20,Everyone in our group is struggling with issues about livelihood. Does anyone here feel their livelihood is in tune?,AY;AP,Work,Idealism,,,Contentment,Eightfold Path,Kamma,,,,,,,
2,Quote,,,,Maybe it would be better phrased 'Right-enough livelihood.',AKd,Right Livelihood,,,,,,,,,,,,,
2,Story,,,,An upright career police officer in Thailand transfers in and out of a corrupt assignment.,AP,Right Livelihood,Work,Community,Crime,Corruption,Family,Precepts,,,,,,,
2,Comment,,,,Even monks face moral dillemas.,AKd,Monastic life,Vinaya,,,,,,,,,,,,
2,Comment,2,19:23,21:11,about the motivations of trying to fix the world versus compassion.,AKc,Idealism,Compassion,Suffering,,,,,,,,,,,
2,,,21:22,,"What is your take on satisfaction, being in tune, and stagnation?",,Contentment,Energy,Ardency,,Skillful qualities,Discernment,Buddha/Biography,Spiritual search,Right Effort,,,,Contentment,150
2,Extra tags,,,,,,,,,,,,,,,,,,Ardency,150
2,Sutta,,,,AN 2.5: Effort and noncontentment with wholesome states.,,Right Effort,Ardency,,,,,,,,,,,,
2,Story,,,,The Thai government made it illegal for monks to teach contentment.,,History/Thai Buddhism,Contentment,Monastic life,Teaching Dhamma,,,,,,,,,,
2,Comment,,,,about the simile of the lute.,,Right Effort,Middle Path,Similes,,,,,,,,,,,
2,Sutta,-,,,AN 6.55: Soṇa Sutta,,Right Effort,Middle Path,Similes,,,,,,,,,,,
2,,,26:02,,"Regarding the lute simile (AN 6.55), I notice that even properly tuned instruments gradually creep out of tune. Is finding the balance a lifelong effort?",,Middle Path,Right Effort,Similes,Long-term practice,,,,,,,,,,
2,Comment,,,,about the need to put work into perspective.,,Work,Culture/West,,,,,,,,,,,,
2,Comment,,27:29,29:26,about the Buddha developing skills after enlightenment.,,Buddha/Biography,Liberation,Learning,,,,,,,,,,,
2,Response,,,,,,Vinaya,History/Early Buddhism,,,,,,,,,,,,
