Modified:,2025,,,,,,,,,,,,,,,,,,
0,Indirect quote,0,28:59,31:47.5,"When asked why there are thieves in Thailand, Ajahn Chah replies, ""The Buddha didn't tell them to do that. They do that themselves.""",,Ajahn Chah,Culture/Thailand,Buddhist identity,Stealing,,,,,,yes,,,
0,Teaching,,33:14.5,36:03,"The perception of impermanence should be cultivated for the removal of the conceit ""I am.""",,Conceit,,,,Self-identity view,Relinquishment,Nibbāna,Cessation of Suffering,,,,,
0,Quote,,,,Being right doesn't lead one to freedom from suffering. Oftentimes it just makes you a pain in the butt.,,Views,,,,,,,,,,,,
0,Sutta,,,,Ud 4.1.21: Meghiya Sutta.,,,,,,,,,,,,,,
0,Sutta,,,,"AN 10.60.10: ""This is peaceful, this is sublime...""",,,,,,,,,,,,,,
0,Reflection,,37:27.5,39:47,"If you see the steadfastness and orderliness of the Dhamma, of the truth, it can free the heart.",,Lawfulness,Naturalness,Liberation,,Pāli,,,,,,,,
0,Indirect quote,,41:20,43:40,"No cracks, no Buddhism.|Ajahn Chah",,Ajahn Chah,Stupas/monuments,,,Recollection/Dhamma,,,,,,,,
0,Reflection,,51:04,54:02,"Absorbing the truth, ""Even the Sāsana will pass away,"" doesn't lead to a sense of dismay; it leads to wonder and the motivation, ""How can I help others?""",,Truth,Spiritual urgency,Compassion,Suffering,,,,,,,,Truth,170
0,Extra tags,,,,,,Characteristics of existence,,,,,,,,,,,,
0,Recollection,,,,Ajahn Chah saw so clearly and was incredibly compassionate.,,Ajahn Chah,Compassion,Fierce/direct teaching,,,,,,,,,,
0,Indirect quote,u,,,"""What is the mind of an arahant like?"" – ""Only compassion.""|Ajahn Mahā Boowa",,Ajahn Mahā Boowa,Fierce/direct teaching,Ajahn Mun,Compassion,,,,,,,,,
0,Quote,,,,"Anicca, dukkha, and anattā are tools we rely on for transforming the heart.",,Characteristics of existence,,,,,,,,,,,,
0,,,55:33,58:46,I am' and ego are very deeply embedded in our consciousness. You mentioned that observing impermanence could help. Are there any other practical steps we can take every day to dismantle ego and 'I am?',,Self-identity view,,,,Suffering,Relinquishment,Not-self,,,,,,
0,Sutta,,,,"Ud 3.10: ""For however one conceives it, it is always other than that.""",,,,,,,,,,,,,,
0,,,59:08,1:00:54,"If nothing is permanent, does that apply to the mind?",,Nature of mind,,,,Knowing itself,Liberation,,,,,,,
0,Sutta,,,,SN 12.61: You'd be better off taking the body as self.,,,,,,,,,,,,,,
0,,,1:00:56,1:02:02,Is liberation impermanent?,,Liberation,,,,Nibbāna,,,,,,,Liberation,90
0,Cut audio,,1:01:32,1:01:37,,,,,,,,,,,,,,,
0,,,1:02:17.5,1:03:47,"Is Nibbāna unconditioned? Can Nibbāna make a connection with you, or do you have to go to Nibbāna?",,Nibbāna,Unconditioned,,,Characteristics of existence,,,,,,,Unconditioned,90
0,Sutta,,,,Ud 8.3: Nibbāna Sutta [(Chanting Book translation)](Chanting Book p. 49).,,,,,,,,,,,,,,
0,Indirect quote,,,,"The place where there's no coming, no going, no standing still. What's that?|Ajahn Chah",,Ajahn Chah,Nibbāna,Unconditioned,,,,,,,,,,
0,,,1:03:49,1:04:45.5,You mentioned that Ajahn Mahā Boowa has been a bit coarse with his disciples. Has your voice always been soft and kind and loving?,,Ajahn Mahā Boowa,Fierce/direct teaching,Ajahn Pasanno,Compassion,,,,,,Yes,,,
0,Quote,,,,"Well, I hope I've gotten better....The early years of being the abbot of Wat Pah Nanachat, I was pretty insufferable.",,Ajahn Pasanno,Wat Pah Nanachat,Abbot,,,,,,,,,,
0,,,1:14:43,1:22:21,Could you talk about what to do with disenchantment? You may feel that you're being lazy by not engaging with the world....,,Disenchantment,Seclusion,,,Spiritual friendship,Amaravati,Abhayagiri,Dhamma online,,Yes,,,
0,Sutta,,,,SN 45.2: Half of the Holy Life.,,Spiritual friendship,,,,,,,,,,,,
0,,,1:22:52,1:28:11,"I am interested to hear more about the qualities of wholeheartedness. You mentioned that the English language does not have a word that captures it. There's something that can go from non-attachment/dispassion to apathy, which is not helpful in the world.",,Language,Relinquishment,Dispassion,Sloth and torpor,Disenchantment,Skillful qualities,Pāli,Conditionality,Abhidhamma,,,,
0,Sutta,s,,,"Suttas: AN 6.10, AN 10.2: The cascade of well being.",,,,,,,,,,,,,,
