13,Indirect quote,,,,Sometimes even mindfulness is no match for a full-blown mental hindrance.|Ajahn Sucitto,,Ajahn Sucitto,Mindfulness,Hindrances,,,,,,,,,,
13,Question,0,52:48,1:03:10,++Reflections++ about the role of faith in practice in response to three questions:,AP,Faith,,,,Faculties,Discernment,Energy,Forgiveness,Respect,,,,
13,Extra tags,,,,,,,,,,Rev. Heng Sure,Relinquishment,,,,,,,
13,Follow-up,0,,,"++1.++ ""It sound like Ajahn Chah was an arahant from your comments about his relics. How do you know? Are there many living arahants now? Should you seek one out as a Dhamma teacher?""",,Ajahn Chah,Arahant,Relics,Association with people of integrity,,,,,,,,,
13,Follow-up,0,,,"++2.++ ""What is a 'transgression against the Dhamma' that we bow and ask forgiveness for during the Evening Chanting (Chanting Book p. 27)? What are some examples? Why do we do this practice of asking for forgiveness? Surely the Dhamma is bigger than us and doesn't need it.""",,Dhamma,Forgiveness,Chanting,,,,,,,,,,
13,Follow-up,0,,,"++3.++ ""What is the benefit of having a relic on the altar? Does it help our meditation?""",,Relics,,,,,,,,,,,,
13,Quote,,,,"On a certain level, we're never going to figure this out.",,,,,,,,,,,,,,
13,,,1:05:26,1:06:55,"When the monks bow, they touch the ground right hand, left hand, one after the other. Would you be so kind as to explain the purpose?",AP,Bowing,,,,Robes,,,,,,,,
13,,,1:07:00,1:08:54,Could you recommend a book about anāpānāsati or mindful approaches to the jhānas?,AP,Mindfulness of breathing,Jhāna,Dhamma books,,,,,,,,,,
13,Reference,,,,[Mindfulness with Breathing]().,,,,,,,,,,,,,,
13,Reference,,,,_Breath by Breath: The Liberating Practice of Insight Meditation_ by Larry Rosenberg (commercial).,,,,,,,,,,,,,,
13,Reference,,,,_Beyond Mindfulness in Plain English: An Introductory Guide to Deeper States of Meditation_ by Bhante Gunaratana (commercial).,,,,,,,,,,,,,,
13,Note,,,,"More recent books about mindfulness of breathing from the Thai Forest Tradition include [Breath in Mind](), [Every Breath](), and [Breathing like a Buddha]().",,,,,,,,,,,,,,
