4,28/4/2001,Ajahn Chah Weekend - 04 - Opening Reflections by Ajahn Sumedho.mp3,36:45,ASumedho,Opening Reflections,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2004%20-%20Opening%20Reflections%20by%20Ajahn%20Sumedho.mp3,8,Ajahn Chah,Ajahn Sumedho,,,2205,2204.86525
5,28/4/2001,Ajahn Chah Weekend - 05 - Reflections by Ajahn Pasanno.mp3,23:41,AP,Reflections by Ajahn Pasanno,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2005%20-%20Reflections%20by%20Ajahn%20Pasanno.mp3,8,Ajahn Chah,,,,1421,1421.061224
6,28/4/2001,"Ajahn Chah Weekend - 06 - Intro to Chant on Buddha, Dhamma and Sangha.mp3",4:10,AA,"Introduction to the Chant on Buddha, Dhamma, and Saṅgha","https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2006%20-%20Intro%20to%20Chant%20on%20Buddha,%20Dhamma%20and%20Sangha.mp3",3,Chanting,,,,250,249.9395714
7,28/4/2001,"Ajahn Chah Weekend - 07 - Chanting on Buddha, Dhamma and Sangha.mp3",3:21,ASundara,"Chanting on Buddha, Dhamma and Saṅgha","https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2007%20-%20Chanting%20on%20Buddha,%20Dhamma%20and%20Sangha.mp3",1,,,,,201,200.9338776
8,28/4/2001,Ajahn Chah Weekend - 08 - Ajahn Chah Reading.mp3,9:25,AChah,Reading from Ajahn Chah,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2008%20-%20Ajahn%20Chah%20Reading.mp3,3,Meditation,,,,565,565.1591429
9,28/4/2001,Ajahn Chah Weekend - 09 - Early Life of Ajahn Chah by Ajahn Amaro.mp3,24:44,AA,Early Life of Ajahn Chah,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2009%20-%20Early%20Life%20of%20Ajahn%20Chah%20by%20Ajahn%20Amaro.mp3,8,Ajahn Chah,,,,1484,1484.382
10,28/4/2001,Ajahn Chah Weekend - 10 - Reflections by Paul Breiter.mp3,22:45,PBreiter,Reflections by Paul Breiter,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2010%20-%20Reflections%20by%20Paul%20Breiter.mp3,12,Ajahn Chah,,,,1365,1364.76725
11,28/4/2001,Ajahn Chah Weekend - 11 - Reflections by Joseph Kappel.mp3,18:51,JKappel,Reflections by Joseph Kappel,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2011%20-%20Reflections%20by%20Joseph%20Kappel.mp3,11,Ajahn Chah,,,,1131,1131.46775
12,28/4/2001,Ajahn Chah Weekend - 12 - Questions & Answers 1.mp3,18:26,,Questions & Answers 1,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2012%20-%20Questions%20&%20Answers%201.mp3,4,Ajahn Chah,,,,1106,1106.207286
13,28/4/2001,Ajahn Chah Weekend - 13 - Teachings to Marjorie - Ajahn Chah.mp3,11:34,AChah,"Teachings to Marjorie, Part 2",https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2013%20-%20Teachings%20to%20Marjorie%20-%20Ajahn%20Chah.mp3,0,Ajahn Chah,,,,694,694.3608163
14,28/4/2001,Ajahn Chah Weekend - 14 - Ajahn Chah's Teachings by Thanissara.mp3,19:36,Thanissara,Ajahn Chah's Teachings by Ṭhānissarā,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2014%20-%20Ajahn%20Chah's%20Teachings%20by%20Thanissara.mp3,10,Ajahn Chah,,,,1176,1175.71925
15,28/4/2001,Ajahn Chah Weekend - 15 - Ajahn Chah's Teachings by Paul Breiter.mp3,16:37,PBreiter,Ajahn Chah's Teachings by Paul Breiter,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2015%20-%20Ajahn%20Chah's%20Teachings%20by%20Paul%20Breiter.mp3,8,Ajahn Chah,,,,997,997.38125
16,28/4/2001,Ajahn Chah Weekend - 16 - Ajahn Chah's Teachings by Ajahn Sumedho.mp3,20:56,ASumedho,Ajahn Chah's Teachings by Ajahn Sumedho,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2016%20-%20Ajahn%20Chah's%20Teachings%20by%20Ajahn%20Sumedho.mp3,7,Ajahn Chah,Ajahn Sumedho,,,1256,1256.38525
17,28/4/2001,Ajahn Chah Weekend - 17 - Ajahn Chah's Teachings by Kittisaro.mp3,11:28,Kittisaro,Ajahn Chah's Teachings by Kittisaro,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2017%20-%20Ajahn%20Chah's%20Teachings%20by%20Kittisaro.mp3,2,Ajahn Chah,,,,688,688.3265
18,28/4/2001,Ajahn Chah Weekend - 18 - Ajahn Chah's Teachings by Ajahn MahaPrasert.mp3,12:36,AMahaprasert,Ajahn Chah's Teachings by Ajahn Mahā Prasert,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2018%20-%20Ajahn%20Chah's%20Teachings%20by%20Ajahn%20MahaPrasert.mp3,4,Ajahn Chah,Ajahn Mahā Prasert,,,756,755.56575
19,28/4/2001,Ajahn Chah Weekend - 19 - Ajahn Chah's Teachings by Ajahn Sundara.mp3,15:04,ASundara,Ajahn Chah's Teachings by Ajahn Sundarā,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2019%20-%20Ajahn%20Chah's%20Teachings%20by%20Ajahn%20Sundara.mp3,6,Ajahn Chah,,,,904,903.9934286
20,28/4/2001,Ajahn Chah Weekend - 20 - Questions & Answers 2 - Ajahn Chah's Teachings.mp3,15:14,,Questions & Answers 2: Ajahn Chah's Teachings,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2020%20-%20Questions%20&%20Answers%202%20-%20Ajahn%20Chah's%20Teachings.mp3,3,Ajahn Chah,Teaching Dhamma,,,914,914.20725
21,28/4/2001,Ajahn Chah Weekend - 21 - Questions & Answers 3 - Monastic Life and Rules.mp3,3:40,,Questions & Answers 3: Monastic Life and Rules,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2021%20-%20Questions%20&%20Answers%203%20-%20Monastic%20Life%20and%20Rules.mp3,2,Ajahn Chah,,,,220,219.8727143
22,28/4/2001,Ajahn Chah Weekend - 22 - Questions & Answers 4 - About Chithurst Monastery.mp3,10:38,,Questions & Answers 4: About Chithurst Monastery,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2022%20-%20Questions%20&%20Answers%204%20-%20About%20Chithurst%20Monastery.mp3,7,Chithurst,,,,638,638.2237143
23,29/4/2001,Ajahn Chah Weekend - 23 - Chanting.mp3,5:11,,Morning Chanting,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2023%20-%20Chanting.mp3,1,,,,,311,310.517551
24,29/4/2001,Ajahn Chah Weekend - 24 - Guided Meditation Led by Ajahn Sundara.mp3,27:48,,Guided Meditation,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2024%20-%20Guided%20Meditation%20Led%20by%20Ajahn%20Sundara.mp3,2,,,,,1668,1667.918429
25,29/4/2001,Ajahn Chah Weekend - 25 - Ajahn Chah Teaching Read by Joseph Kappel.mp3,10:26,,Teaching from Ajahn Chah,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2025%20-%20Ajahn%20Chah%20Teaching%20Read%20by%20Joseph%20Kappel.mp3,3,Ajahn Chah,,,,626,625.9722857
26,29/4/2001,Ajahn Chah Weekend - 26 - Reflections by Jack Kornfield.mp3,56:16,JKornfield,Reflections by Jack Kornfield,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2026%20-%20Reflections%20by%20Jack%20Kornfield.mp3,27,Ajahn Chah,,,,3376,3376.453813
27,29/4/2001,Ajahn Chah Weekend - 27 - Metta Chant Led by Ajahn Sundara.mp3,4:52,ASundara,Metta Chant Led by Ajahn Sundara,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2027%20-%20Metta%20Chant%20Led%20by%20Ajahn%20Sundara.mp3,0,,,,Yes,292,291.5527143
28,29/4/2001,Ajahn Chah Weekend - 28 - Ajahn Chah Training by Kittisaro.mp3,25:38,Kittisaro,Training with Ajahn Chah by Kittisaro,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2028%20-%20Ajahn%20Chah%20Training%20by%20Kittisaro.mp3,4,Ajahn Chah,,,,1538,1538.037571
29,29/4/2001,Ajahn Chah Weekend - 29 - Ajahn Chah Training by Paul Breiter.mp3,18:34,PBreiter,Training with Ajahn Chah by Paul Breiter,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2029%20-%20Ajahn%20Chah%20Training%20by%20Paul%20Breiter.mp3,8,Ajahn Chah,,,,1114,1113.756735
30,29/4/2001,Ajahn Chah Weekend - 30 - Ajahn Chah Training by Ajahn Sumedho.mp3,18:52,ASumedho,Training with Ajahn Chah by Ajahn Sumedho,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2030%20-%20Ajahn%20Chah%20Training%20by%20Ajahn%20Sumedho.mp3,8,Ajahn Chah,,,,1132,1131.546
31,29/4/2001,Ajahn Chah Weekend - 31 - Question & Answer 5 - Ajahn Chah Training.mp3,12:41,,Questions & Answers 5: Training with Ajahn Chah,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2031%20-%20Question%20&%20Answer%205%20-%20Ajahn%20Chah%20Training.mp3,5,Ajahn Chah,,,,761,760.9991429
32,29/4/2001,Ajahn Chah Weekend - 32 - Ajahn Chah Stories - Part 1.mp3,44:55,,"Ajahn Chah Stories, Part 1",https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2032%20-%20Ajahn%20Chah%20Stories%20-%20Part%201.mp3,13,Ajahn Chah,,,,2695,2695.131429
33,29/4/2001,Ajahn Chah Weekend - 33 - Ajahn Chah Stories - Part 2.mp3,22:50,,"Ajahn Chah Stories, Part 2",https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2033%20-%20Ajahn%20Chah%20Stories%20-%20Part%202.mp3,9,Ajahn Chah,,,,1370,1369.835143
34,29/4/2001,Ajahn Chah Weekend - 34 - Last Years Of Ajahn Chah's Life.mp3,36:44,JKappel;AP,Last Years of Ajahn Chah's Life,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2034%20-%20Last%20Years%20Of%20Ajahn%20Chah's%20Life.mp3,12,Ajahn Chah,,,,2204,2203.6375
35,29/4/2001,Ajahn Chah Weekend - 35 - Final Reflections by Ajahn Sumedho.mp3,16:22,ASumedho,Final Reflections by Ajahn Sumedho,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2035%20-%20Final%20Reflections%20by%20Ajahn%20Sumedho.mp3,7,Ajahn Chah,,,,982,982.3869167
36,29/4/2001,Ajahn Chah Weekend - 36 - Final Chant.mp3,5:51,,Closing Chanting,https://www.abhayagiri.org/20/DVD/Audio/Ajahn%20Chah%20Weekend/Ajahn%20Chah%20Weekend%20-%2036%20-%20Final%20Chant.mp3,3,,,,,351,351.2947143
