Modified:,2025,,,,,,,,,,,,,,,,,,
2,Note,-,,,The recordings on this website come from the older 2010 [Abhayagiri Chanting Book]().,,,,,,,,,,,,,,
2,,,53:59,56:53,Are there any standards for the high and low tone marks?,AP;ANy;AKd,,,,,Thai,,,,,,,,
3,,,27:36,,Are the paritta chants not as effective in English?,ANy,Translation,Language,Pāli,,Devotional practice,,,,,,,,
3,,,28:42,,Do you find these chants as resonant here as in Thailand?,ANy,Culture/Thailand,Culture/West,,,Faith,,,,,,,,
3,,,29:38,,I notice that most of the paritta chants don't have English translations. Is there a place we can find these?,ANy,Translation,,,,Sutta,,,,,,,,
3,Sutta,s,,,DN 32: Āṭānāṭiya Sutta; SN 46.14-16: Sick,,Chanting,Protective chants,Sickness,Factors of Awakening,,,,,,,,,
3,,,31:29,32:58,Are there books or online resources for the study of Pāli?,ANy;AShj,Pāli,Dhamma books,Dhamma online,,,,,,,Yes,,Pāli,200
3,Reference,,,,_A New Course in Reading Pāli_ by James W. Gair and W. S. Karunatillake ([pdf](https://buddhistuniversity.net/content/monographs/new-course-in-reading-pali_gair-karunatillake)),,Pāli,Learning,,,,,,,,,,,
3,Note,,,,Bhikkhu Bodhi's _Reading the Buddha's Discourses in Pāli_ was published in 2020.,,,,,,,,,,,,,,
3,Comment,,33:14,36:27,There are a couple books that have some parittas in English.,,Translation,Dhamma books,,,,,,,,,,,
3,Reference,,,,[Book of Protection](),,,,,,,,,,,,,,
3,Response,,,,Suggestion to read the Suttanipāta commentaries available in Bhikkhu Bodhi's translation of this text.,ANy,Sutta,Commentaries,Bhikkhu Bodhi,,,,,,,,,,
3,Story,,36:34,38:04,A monk at Poo Jum Gom dislodges a viper by chanting the Khandhaparitta despite believing that it won't work.,ANy,Animal,Poo Jum Gom,Ajahn Ñāṇiko,Faith,,,,,,,,,
3,,,38:17,39:47,Is there a rule of thumb for the pitches for the paritta chanting?,ANy;AKd,,,,,Thai,,,,,,,,
3,,,39:53,42:22,The Verses of Sharing and Aspiration translates paccekabuddha as 'The Solitary Buddha is my noble guide.' What's going on here?,ANy;AP,Chanting,Translation,Paccekabuddha,,Merit,Teaching Dhamma,,,,Yes,,,
3,Reference,,,,Chanting Book p. 33,,,,,,,,,,,,,,
